lat,lon
 -38.142604° -140.036915°
 -36.125692° -137.604968°
 -36.176397° -136.991708°
 -36.601306° -139.237348°
 -37.628322° -138.468100°
 -37.982693° -138.400691°
 -38.154831° -138.207531°
 -38.111675° -138.627902°
 -38.386250° -135.885444°
 -38.415646° -135.779074°
 -39.017594° -142.915955°
 -36.600890° -139.534218°
 -36.061947° -141.411982°
 -35.868758° -141.615110°
 -39.017225° -142.905267°
 -38.710726° -137.324743°
 -38.982483° -138.223294°
 -38.837523° -137.671166°
 -33.232052° -144.248836°
 -34.436482° -144.893351°
 -34.307199° -144.475556°
 -34.121980° -143.422285°
 -34.865135° -145.734220°
 -35.424942° -140.602531°
 -35.589179° -140.452875°
 -33.311170° -142.423126°
 -33.361150° -142.295249°
 -30.696262° -144.008006°
 -30.882353° -143.383604°
 -31.105909° -143.300003°
 -26.611786° -130.751873°
 -26.605190° -129.461449°
 -26.394531° -128.682201°
 -25.663715° -131.124860°
 -22.300486° -133.074183°
 -22.894420° -129.896299°
 -23.221921° -128.403413°
 -23.773284° -128.099761°
 -25.340689° -125.948527°
 -25.187428° -125.876105°
 -25.237290° -125.629251°
 -25.147474° -125.363008°
 -24.435523° -126.804137°
 -24.400503° -123.259416°
 -27.853127° -118.637271°
 -27.857127° -118.331670°
 -28.106671° -118.892446°
 -27.341170° -119.588554°
 -29.934072° -113.385462°
 -30.127368° -113.227470°
 -30.170306° -113.590397°
 -32.668171° -117.669863°
 -31.882500° -117.908775°
 -32.037746° -118.228266°
 -31.291084° -118.160657°
 -31.789969° -116.166427°
 -31.753760° -115.962567°
 -30.819963° -116.448358°
 -30.989002° -116.167708°
 -26.442432° -124.462871°
 -27.236862° -125.117932°
 -25.963676° -126.061354°
 -26.026918° -125.899231°
 -26.046210° -126.186991°
 -27.122364° -127.471884°
 -26.262513° -129.244762°
 -26.587944° -130.100512°
 -27.274954° -140.091910°
 -28.572253° -138.823259°
 -29.845184° -147.829770°
 -26.651660° -148.207853°
 -22.036199° -148.141005°
 -22.309587° -148.963240°
 -22.306400° -148.811668°
 -21.625243° -151.325113°
 -18.225433° -142.785210°
 -28.120076° -141.810120°
 -10.439411° -146.209970°
 -10.700468° -145.716389°
 -13.121755° -147.347878°
  -6.641360° -147.117664°
  -1.487879° -147.209886°
  -4.306715° -147.550143°
  -8.795047° -146.872522°
  -9.810296° -149.053431°
 -11.269799° -148.333894°
 -11.790820° -147.623509°
 -11.582038° -145.973778°
  -6.334719° -150.020123°
 -18.036172° -147.268588°
 -16.987542° -149.915013°
 -17.716796° -151.723479°
 -17.731079° -151.572896°
 -17.915820° -152.082702°
 -20.471632° -147.017643°
 -17.332138° -135.364621°
 -17.514202° -135.270917°
 -17.202051° -135.814356°
 -18.196758° -133.816713°
 -18.417765° -135.013711°
 -18.179178° -134.588347°
 -16.022684° -123.498062°
 -16.259596° -123.496044°
 -16.326223° -121.336206°
 -16.290671° -121.198503°
 -16.326223° -121.336206°
 -16.335029° -121.340206°
 -17.155675° -120.421487°
 -14.597521° -119.968082°
 -14.519224° -120.030097°
 -21.543832° -130.731446°
 -14.349715° -135.036011°
 -14.424530° -134.531609°
 -14.574893° -134.440238°
 -14.570526° -134.444324°
 -16.737195° -132.695591°
 -17.524098° -125.081888°
 -14.667274° -120.194855°
 -15.586552° -119.569022°
 -14.617823° -120.641216°
 -21.620264° -122.187984°
 -21.390185° -121.245671°
 -21.192116° -120.584219°
  -0.763415° -128.429765°
  -1.072849° -128.532033°
  -0.972771° -128.062302°
  -1.312260° -128.564450°
  -1.196044° -128.300828°
  -1.467580° -127.655774°
  -1.662108° -127.679667°
  -0.562260° -135.518565°
  -6.955626° -131.879774°
  -9.794827° -136.050142°
  -9.830662° -135.739991°
  -9.664288° -135.428000°
  -9.857598° -135.358675°
 -10.027637° -135.279486°
 -10.134868° -135.404777°
 -19.210369° -132.073242°
 -19.350702° -131.941376°
 -19.123330° -131.537268°
 -28.245329° -123.669141°
 -28.001693° -123.779416°
 -29.180688° -127.087057°
 -35.615225° -126.751607°
 -35.726770° -125.700046°
 -35.594425° -124.150303°
 -37.719949° -125.763884°
 -37.864656° -125.980052°
 -37.174013° -127.218406°
 -37.158653° -126.467397°
 -36.600852° -123.739949°
 -36.552447° -124.101778°
 -36.467913° -122.789129°
  26.111789° -123.747143°
  28.605492°  -67.096987°
  25.988151°  -67.287429°
  29.669958°  -65.300971°
  32.833747°  -63.674598°
  32.778679°  -65.679661°
  33.322758°  -65.236243°
  31.963087°  -66.029585°
  31.524077°  -68.087899°
  30.963337°  -67.095138°
  30.388410°  -63.768390°
  30.435899°  -63.864985°
  33.713007° -152.989364°
  39.325056° -157.792210°
  40.524382° -163.171062°
  27.193260° -133.940078°
  27.393392° -133.185373°
  26.832321° -133.795655°
  30.563100° -135.982908°
  30.078335° -133.219423°
  46.195522° -177.221857°
 -28.656798° -122.851492°
 -27.470121° -125.974509°
 -27.506523° -121.961198°
 -27.503075° -121.820702°
 -26.651088° -126.332154°
 -14.056668° -127.015137°
  -1.324093° -172.584651°
  -1.402527° -172.464735°
  -1.437687° -172.334998°
  -4.085594° -172.804319°
  -1.455773° -173.818150°
  -5.726065° -176.339782°
  -8.215303° -173.326592°
  -7.838482° -172.817503°
  -7.984861° -172.166111°
