> -L"001a"
-13.131095	-4.201162
-13.264938	-4.268137
-13.388082	-4.178543
-13.519013	-4.216991
-13.674391	-4.117414
-13.812288	-4.163073
-13.967615	-4.226848
-14.019467	-4.13561
-14.217989	-4.178956
-14.307603	-4.152448
-14.445248	-4.212202
-14.600709	-4.283789
-14.756228	-4.332376
-14.829332	-4.41559
-14.94186	-4.488949
-15.06871	-4.384966
-15.213615	-4.444734
-15.316435	-4.471664
-15.389706	-4.551277
-15.515917	-4.493214
-15.636358	-4.53355
-15.720133	-4.500673
-15.747453	-4.342439
-15.842611	-4.367576
-15.926873	-4.365554
-16.046083	-4.451764
-16.188677	-4.465421
-16.237422	-4.601352
-16.3705	-4.656833
-16.411975	-4.793857
-16.567993	-4.816212
-16.709898	-4.809082
> -L"028b"
-11.974911	-3.851467
-11.806041	-3.886605
-11.718548	-3.809579
-11.607369	-3.824691
-11.508751	-3.765205
-11.358021	-3.790013
-11.242815	-3.680161
-11.082996	-3.640505
-11.025087	-3.50284
-10.852611	-3.448087
-10.77779	-3.365232
-10.616781	-3.338072
-10.503333	-3.258299
-10.400746	-3.205697
-10.22083	-3.166454
-10.065748	-3.111017
-9.929237	-3.204009
-9.790091	-3.119278
-9.699604	-3.020057
-9.588793	-3.102329
-9.540618	-3.163019
-9.430861	-3.059387
-9.320389	-2.982836
-9.198294	-2.905958
-9.130482	-2.830534
-9.026114	-2.816086
-8.981988	-2.725799
-8.820196	-2.682653
-8.62656	-2.706354
-8.46109	-2.705832
-8.362567	-2.813349
> -L"029a"
-17.348047	-5.493919
-17.207575	-5.504339
-17.178575	-5.457339
-17.010156	-5.42494
-16.852868	-5.355926
-16.789582	-5.400503
-16.635018	-5.41862
-16.574073	-5.326286
-16.407105	-5.339986
-16.337219	-5.284819
-16.215322	-5.250359
-16.009371	-5.208432
-15.84413	-5.130734
-15.629665	-5.108794
-15.494921	-5.137568
-15.393218	-5.067104
-15.253213	-5.004753
-15.055651	-4.928642
-14.92652	-4.803441
-14.809992	-4.686924
-14.682806	-4.681474
-14.570424	-4.779404
-14.427887	-4.691901
-14.23827	-4.624542
-14.089327	-4.642584
-14.069801	-4.561802
-13.926445	-4.516473
-13.881392	-4.439372
-13.684268	-4.329388
-13.518112	-4.264415
> -L"029b"
-11.001285	-3.784485
-10.885716	-3.710411
-10.769046	-3.678924
-10.724562	-3.745254
-10.586171	-3.727381
-10.433272	-3.719757
-10.308158	-3.606269
-10.224992	-3.522317
-10.14616	-3.541506
-10.062607	-3.603193
-10.013067	-3.722644
-9.860867	-3.690071
-9.765531	-3.79049
-9.649103	-3.751756
-9.56713	-3.659175
-9.445489	-3.615954
-9.322327	-3.602083
-9.213164	-3.615027
-9.105821	-3.546572
-8.894726	-3.511572
-8.766652	-3.47107
-8.639323	-3.404776
-8.521903	-3.379285
-8.391281	-3.427094
-8.302635	-3.318425
-8.200662	-3.252033
-8.091211	-3.273776
-7.979131	-3.349276
-7.832722	-3.307263
-7.685516	-3.176127
-7.636286	-3.099286
-7.477079	-3.025996
> -L"030a"
-13.948502	-5.797248
-14.098339	-5.834213
-14.130729	-5.913052
-14.154114	-6.115626
-14.312879	-6.298067
-14.313459	-6.41938
-14.36374	-6.519999
-14.405612	-6.659189
-14.496349	-6.885194
-14.606745	-6.917925
-14.622011	-6.993014
-14.728354	-7.065228
-14.851638	-6.997448
-15.025548	-7.133435
-15.200886	-7.179909
-15.37883	-7.047413
-15.517752	-7.094976
-15.631584	-6.951696
-15.752987	-7.079085
-15.857444	-7.113387
-15.940782	-7.041367
