number,l1_t,l1_s,model_height,lon,lat
mh307,113.40913,4.303681,1000,-175.4535000319184,32.02028847159232
mh308,532.4601,11.952402,1500,-177.7948720858017,34.19946683531106
mh309,555.4818,23.936054,700,-176.702841753656,34.09534679595041
mh310,535.6667,14.00759,700,-176.8118172427963,34.17303076636781
mh311,182.42061,7.0563097,800,-178.4981847037016,36.43734979369663
mh312,266.02283,12.25082,1600,-175.9968614466564,37.68373947515641
mh313,321.2044,11.21113,1000,-175.5871457422578,37.15279467926485
mh314,464.04654,10.298253,1500,-175.5785223981654,35.89482280052307
mh315,178.31015,6.5958376,1400,-176.0585863042924,35.2862212605967
mh316,292.1294,17.4939,900,-175.4910146238407,36.67959934359882
mh317,169.37184,8.265626,1500,-174.456886544861,36.25907026258789
mh318,303.5884,5.3473077,1300,-172.2370418395176,36.9009563717245
mh319,190.91335,10.446236,1100,-171.6230155309207,36.91035544607197
mh320,146.22757,6.626874,900,-173.1177063257832,37.11971986345922
mh321,241.2479,12.460954,1800,-172.6338725257104,37.39591976847549
mh322,157.66452,6.4257984,900,-171.7549254668673,37.36701051274023
mh323,429.6829,17.783056,1600,-171.1989385286786,37.75238702906451
mh324,182.07095,12.408629,1200,-171.3540409140575,37.90547937435019
mh325,403.06412,14.973879,1000,-173.4784492902071,37.37236491986567
mh326,355.4327,17.175825,1000,-172.2625044680566,37.69372292777877
mh327,302.1402,16.560791,900,-171.7854258134876,37.81534035911044
mh328,206.31197,13.178474,1200,-172.090706709521,37.79501420347642
mh329,267.4978,16.354637,600,-172.4888467767686,38.00835967651127
mh330,359.46063,14.61154,1000,-172.4982062660104,37.56735005605546
mh331,602.66425,20.26963,1100,-170.4094732635009,38.13554113913752
mh332,288.14886,13.219272,1100,-169.3346373262751,39.43174334270667
mh333,292.72952,10.988216,1000,-169.7047316288532,38.48730348910979
mh334,352.05777,18.04893,500,-169.8977865114033,39.21999788722426
mh335,96.06314,5.6802907,900,-170.9115448675275,39.66926546003212
mh336,58.386063,3.4823594,1100,-170.8744099308409,39.98079021093061
mh337,91.62547,5.0002728,1000,-170.4701243079997,40.12292394049754
mh338,49.9592,3.1251338,800,-171.3065445313649,40.12488691251698
mh339,120.00517,3.9796872,1100,-171.5970790512897,39.87253631162718
mh340,180.65025,4.524489,1100,-171.7628098442106,39.80911079801309
mh341,96.83919,4.891565,1200,-169.3606035302529,40.36638099275694
mh342,108.49439,5.6290617,900,-172.3789112749337,38.8335127662184
mh343,78.38089,4.9040666,900,-172.6089008622805,39.57324084467933
mh344,77.65081,4.3424106,900,-172.7957853528905,39.49166094856774
mh345,114.711464,4.0308433,800,-172.1399224847304,39.46907088177883
mh346,110.93004,3.4810288,800,-172.1099025861798,38.9842563733852
mh347,75.613686,3.6521914,1100,-173.1851606726747,40.40576675432953
mh348,47.655308,2.1594605,800,-174.1685737448814,40.22462090425523
mh349,70.045975,2.577139,700,-173.3211749524019,40.94203930449049
mh350,439.15906,20.325712,1600,-176.8906107951781,39.38049232685572
mh351,387.72052,15.344585,1200,-177.1450736336821,39.29470152751669
mh352,246.33746,14.727964,1300,-176.6729023428608,39.64637284252868
mh353,67.43875,2.607095,1000,-178.7754695882582,40.60615219220726
mh354,174.42883,8.5216875,900,-179.1462679476945,40.56918910731414
mh355,283.75394,13.266875,1600,-177.7783022665016,39.73078240227241
mh356,124.42076,8.040961,400,-179.1629623793794,41.06304773989603
mh357,136.77708,6.418458,800,-175.9926103590667,39.04845351336259
mh358,171.29568,10.488209,1400,-176.5051511447524,39.47779804588821
mh359,213.995,11.927707,900,-176.3292428809815,38.43138426098846
mh360,111.01945,7.103152,700,-176.4138915577174,39.27228868935901
mh361,95.240395,5.939801,800,-176.3690973455639,39.09875936899991
mh362,269.80893,16.852964,1200,-176.1716193858734,36.99172702691821
mh363,209.32024,11.434911,1200,-176.2169367163399,36.42517058947896
mh364,100.183,3.4475088,900,-171.8043244608201,41.43711334654042
mh365,98.05611,3.638132,900,-171.2612048413643,41.47195636852234
mh366,156.51674,5.2460537,800,-170.9630987069076,41.69283694029073
mh367,304.49512,6.653116,1000,-172.374046358293,42.37119054380638
mh368,402.56244,10.529093,800,-173.7995532826258,44.35680984714229
mh369,187.37045,6.6192718,1500,-173.5555358250144,45.088917129662
mh370,155.11522,5.7455683,1200,-174.1906915257574,44.99079725478467
mh371,63.23383,4.357187,1200,-178.9872012597751,47.07768970295159
mh372,184.54207,7.152744,1200,-178.6718718083546,46.71686014591319
mh373,141.69182,4.2629304,1000,-178.4607995921486,46.88543520716784
mh374,186.0196,8.631011,1400,-179.5767013119528,47.03383143652697
mh375,369.3777,11.413517,1100,-179.5855924381978,46.862461730503
